ELEMENTO,CARA,FORMATO,TIPO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url,slot_duration_seconds
COM-018,B,Pantalla Digital,DIGITAL,Lima,Comas,Av. Túpac Amaru Con Jr. Aravicus Cdra. 1,Hacia el norte con dirección a Comas,Alt de Estación Izaguirre rumbo a la estación Naranjal y Comas. Próximo a Hiraoka Royal Plaza y Megaplaza,"9,60","4,80",1280,720,"-11,9877055","-77,0571644",,17.953.603,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/COM-018%20B.webp,7
CUS-019,B,Pantalla Digital,DIGITAL,Cusco,-,Av. La Cultura Cdra. 13 Esquina Con Pasaje Del Solar,Hacia Prolongación La Cultura con dirección a Pikillacta y Tipón,Frente a Interbank y Supermercado Orión.,"10,24","4,80",1280,720,"-13,5240460","-71,9579160",,6.522.193,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CUS-019%20B.webp,7
CUS-021,A,Pantalla Digital,DIGITAL,Cusco,-,Av. Alameda Pachacutec ,Hacia el Óvalo Pachacutec con dirección al Aeropuerto,Frente a Parque Urpicha,"10,40","5,40",1280,720,"-13,5308649","-71,9692596",,4.424.409,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CUS-021%20A.webp,7
ICA-009,A,Pantalla Digital,DIGITAL,Ica,-,Av. Municipalidad cruce con J. J. Elías.,Camino a Plaza Sol de Ica,"Ubicado cerca al terminal terrerstre de Ica, a una cdra. De Plaza de Armas.","10,24","4,80",1280,720,"-14,0643145","-75,7323003",,0,,7
IND-006,A,Pantalla Digital,DIGITAL,Lima,Independencia,Av. Tomas Valle Con Av. Alfredo Mendiola,Hacia Av. Tupac Amaru. Frente a plaza norte.,Frente al Centro Comercial “Plaza Norte”.,"7,68","3,84",1280,720,"-12,0081309","-77,0609270",,14.578.787,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/IND-006%20A.webp,7
IND-022,A,Pantalla Digital,DIGITAL,Lima,Independencia,Av. Gerardo Unger Cdra. 71 Con Calle Villa Hermosa ,Hacia Rímac Óvalo Habich,A 150 metros antes del Centro Comercial Plaza Norte,"12,00","6,00",1280,720,"-12,0007440","-77,0551330",,16.844.631,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/IND-022%20A.webp,7
JM-002,A,Pantalla Digital,DIGITAL,Lima,Jesus Maria,Av. 28 De Julio Con Av. Felipe Salaverry,Hacia Av. Cuba con dirección al Ministerio de Salud y Av. Javier Prado Oeste.,Frente al Óvalo Jorge Chávez.,"8,96","4,80",1280,720,"-12,0645630","-77,0385750",,15.215.070,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-002%20A.webp,7
JM-007,A,Pantalla Digital,DIGITAL,Lima,Jesus Maria,Av. Salaverry Con Guillermo Prescot,Hacia la Av. Javier Prado,Frente a la Universidad del Pacífico y el grifo Primax; cerca de Real Plaza Salaverry y la UPC,"8,00","4,00",1280,720,"-12,0852305","-77,0490409",,4.220.713,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-007%20A.webp,7
JM-009,A,Pantalla Digital,DIGITAL,Lima,Jesus Maria,Av. Faustino Sánchez Carrión (Pershing),Hacia Av. Brasil con dirección al Hospital Militar.,Cerca al Metro de Pershing a pocas cuadras del Centro Comercial Real Plaza de Salaverry.,"12,00","6,00",1280,720,"-12,0910951","-77,0558739",,8.168.563,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-009%20A.webp,7
LAV-007,A,Pantalla Digital,DIGITAL,Lima,La Victoria,Av. Paseo De La Republica Con Av Canada,Dirección a Av. México Centro de Lima y Estadio Nacional.,Al lado de Mitsui Automotriz.,"12,40","6,20",1280,720,"-12,0825220","-77,0260640",,12.714.531,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-007%20A.webp,7
LAV-008,A,Pantalla Digital,DIGITAL,Lima,La Victoria,Av. Canadá Con Av. Nicolás Arriola Cdra. 18 ,De Av. Aviación hacia la Vía Expresa – Paseo de la República.,Frente a Metro de Canadá.,"7,68","3,84",1280,720,"-12,0832249","-77,0141176",,6.452.053,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-008%20A.webp,7
LAV-016,A,Pantalla Digital,DIGITAL,Lima,La Victoria,Av. México Con Jr. Gamarra,Hacia Av. Parinacocha con dirección a la Vía Expresa.,Ingreso al centro comercial Gama Plaza. Tienda ancla: Metro Cine Mark Smart Fit,"8,00","4,00",1280,720,"-12,0724262","-77,0127946",,3.598.551,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-016%20A.webp,7
