ELEMENTO,CARA,FORMATO,TIPO,PROVEEDOR,DEPARTAMENTO,DISTRITO,ZONA,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,AREA,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url
CAL-001,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Callao,Callao,LIMA DIGITAL,Av. Faucett Entrada Al Aeropuerto,Dirección a la Av. Canta Callao.,Frente al Aeropuerto frente al grifo Petroperú.,"12,10","6,05",1280,720,"73,21","-12,0215050","-77,1055270",,7.349.644,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-001%20A.webp
CAL-014,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Callao,Callao,LIMA DIGITAL,Av. Argentina - Frente A Minka,Hacia el Óvalo centenario.,Frente a Centro Comercial Minka.,"8,00","4,00",1280,720,"32,00","-12,0495116","-77,1111113",,3.983.597,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-014%20A.webp
CAL-018,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Callao,Callao,LIMA DIGITAL,Av. Faucett,Av. Venezuela hacia Av. Óscar Benavides (Ex Colonial) dirección hacia el Aeropuerto.,Frente a Rodizio y Rokys.,"7,68","3,84",1280,720,"29,49","-12,0559932","-77,0975809",,5.559.866,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-018%20A.webp
CAL-029,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Callao,Callao,LIMA DIGITAL,Av. Elmer Faucett Con Av. Morales Duárez,Hacia Av. La Marina - San Miguel,Frente a Estadio Politécnico Nacional del Callao,"11,52","5,76",1280,720,"66,36","-12,0416265","-77,0991684",,12.797.284,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-029%20A.webp
CHI-004,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Chiclayo,-,PROVINCIA DIGITAL,Av. Bolognesi Cdra. 11 Con Grau,Del Cercado de Chiclayo y Aeropuerto.,Frente al Real Plaza Chiclayo.,"10,35","6,00",1280,720,"62,10","-6,7762850","-79,8323720",,3.860.494,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHI-004%20A.webp
CHI-031,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Chiclayo,-,PROVINCIA DIGITAL,Av. Josemaría Escriva Balaguer cruce con Panamericana Norte,"Hacia la Carretera Panamericana Norte, Motormundo Chiclayo, concesionario de Camiones, Óvalo Av. Chiclayo Noroeste",Frente al Mall Aventura Chiclayo y Hospital Regional de Lambayeque,"11,52","5,76",1280,720,"66,36","-6,7624722","-79,8601546",,1.300.791,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHI-031%20B.webp
CHO-006,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Chorrillos,LIMA DIGITAL,Av. Prolongación Matellini Con Av. Defensores Del Morro,Con dirección al Circuito de Playas,Esquina Grifo Petroperu e Inversiones La Cruz,"12,00","6,00",1280,720,"72,00","-12,1813719","-77,0122280",,4.880.340,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-006%20A.webp
CHO-007,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Chorrillos,LIMA DIGITAL,Av. Paseo De La República Cdra. 09,Con dirección a la Av. Ariosto Matellini,Frente a Centro Comercial Plaza Lima Sur y Metropolitano,"12,82","5,80",1280,720,"74,36","-12,1739511","-77,0146979",,6.415.406,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-007%20A.webp
CHO-009,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Chorrillos,LIMA DIGITAL,Av. Prolongación Huaylas Cruce Con Calle Santa Teresa,Hacia el sur intersección de Av. Paseo la República Av. Guardia Civil y Av. Defensores del Morro,Cercano a grifos agencias bancarias y restaurantes . En dirección a Plaza Vea Banco de Crédito,"10,24","4,80",1280,720,"49,15","-12,1838700","-77,0088080",,6.857.679,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-009%20B.webp
COM-018,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Comas,LIMA DIGITAL,Av. Túpac Amaru Con Jr. Aravicus Cdra. 1,Hacia el norte con dirección a Comas,Alt de Estación Izaguirre rumbo a la estación Naranjal y Comas. Próximo a Hiraoka Royal Plaza y Megaplaza,"9,60","4,80",1280,720,"46,08","-11,9877055","-77,0571644",,17.953.603,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/COM-018%20B.webp
CUS-019,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Cusco,-,PROVINCIA DIGITAL,Av. La Cultura Cdra. 13 Esquina Con Pasaje Del Solar,Hacia Prolongación La Cultura con dirección a Pikillacta y Tipón,Frente a Interbank y Supermercado Orión.,"10,24","4,80",1280,720,"49,15","-13,5240460","-71,9579160",,6.522.193,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CUS-019%20B.webp
CUS-021,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Cusco,-,PROVINCIA DIGITAL,Av. Alameda Pachacutec ,Hacia el Óvalo Pachacutec con dirección al Aeropuerto,Frente a Parque Urpicha,"10,40","5,40",1280,720,"56,16","-13,5308649","-71,9692596",,4.424.409,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CUS-021%20A.webp
ICA-009,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Ica,-,PROVINCIA DIGITAL,Av. Municipalidad cruce con J. J. Elías.,Camino a Plaza Sol de Ica,"Ubicado cerca al terminal terrerstre de Ica, a una cdra. De Plaza de Armas.","10,24","4,80",1280,720,"49,15","-14,0643145","-75,7323003",,-,-
IND-006,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Independencia,LIMA DIGITAL,Av. Tomas Valle Con Av. Alfredo Mendiola,Hacia Av. Tupac Amaru. Frente a plaza norte.,Frente al Centro Comercial “Plaza Norte”.,"7,68","3,84",1280,720,"29,49","-12,0081309","-77,0609270",,14.578.787,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/IND-006%20A.webp
IND-022,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Independencia,LIMA DIGITAL,Av. Gerardo Unger Cdra. 71 Con Calle Villa Hermosa ,Hacia Rímac Óvalo Habich,A 150 metros antes del Centro Comercial Plaza Norte,"12,00","6,00",1280,720,"72,00","-12,0007440","-77,0551330",,16.844.631,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/IND-022%20A.webp
JM-002,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Jesus Maria,LIMA DIGITAL,Av. 28 De Julio Con Av. Felipe Salaverry,Hacia Av. Cuba con dirección al Ministerio de Salud y Av. Javier Prado Oeste.,Frente al Óvalo Jorge Chávez.,"8,96","4,80",1280,720,"43,01","-12,0645630","-77,0385750",,15.215.070,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-002%20A.webp
JM-007,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Jesus Maria,LIMA DIGITAL,Av. Salaverry Con Guillermo Prescot,Hacia la Av. Javier Prado,Frente a la Universidad del Pacífico y el grifo Primax; cerca de Real Plaza Salaverry y la UPC,"8,00","4,00",1280,720,"32,00","-12,0852305","-77,0490409",,4.220.713,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-007%20A.webp
JM-009,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Jesus Maria,LIMA DIGITAL,Av. Faustino Sánchez Carrión (Pershing),Hacia Av. Brasil con dirección al Hospital Militar.,Cerca al Metro de Pershing a pocas cuadras del Centro Comercial Real Plaza de Salaverry.,"12,00","6,00",1280,720,"72,00","-12,0910951","-77,0558739",,8.168.563,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-009%20A.webp
LAV-007,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Victoria,LIMA DIGITAL,Av. Paseo De La Republica Con Av Canada,Dirección a Av. México Centro de Lima y Estadio Nacional.,Al lado de Mitsui Automotriz.,"12,40","6,20",1280,720,"76,88","-12,0825220","-77,0260640",,12.714.531,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-007%20A.webp
LAV-008,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Victoria,LIMA DIGITAL,Av. Canadá Con Av. Nicolás Arriola Cdra. 18 ,De Av. Aviación hacia la Vía Expresa – Paseo de la República.,Frente a Metro de Canadá.,"7,68","3,84",1280,720,"29,49","-12,0832249","-77,0141176",,6.452.053,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-008%20A.webp
LAV-016,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Victoria,LIMA DIGITAL,Av. México Con Jr. Gamarra,Hacia Av. Parinacocha con dirección a la Vía Expresa.,Ingreso al centro comercial Gama Plaza. Tienda ancla: Metro Cine Mark Smart Fit,"8,00","4,00",1280,720,"32,00","-12,0724262","-77,0127946",,3.598.551,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-016%20A.webp
LCE-003,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Lince,LIMA DIGITAL,Av. Arequipa Cdra. 18 cruce con Jr. Manuel Candamo ,Hacia Circuito Mágico del Agua y Cercado de Lima.,Esquina de Clínica San Clemente cerca a Centro Comercial Arenales.,"10,00","4,00",1280,720,"40,00","-12,0825099","-77,0347178","Elemento por instalar, en trámite de medidor, Sera Elemento tradicional",-,-
LCE-004,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Lince,LIMA DIGITAL,Av. Arequipa cruce con Jr. Risso,Hacia Circuito Mágico del Agua y Cercado de Lima.,"Costado del Centro Comercial Risso y Restaurante La Leña, en la esquina se encuentra Scotiabank","10,80","4,80",1280,720,"51,84","-12,0855833","-77,0340556","Elemento por instalar, en trámite de medidor",-,-
LMNA-001,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Molina,LIMA DIGITAL,Av. Raúl Ferrero 1496,Hacia Av. Los Fresnos con dirección a Av. La Molina.,Próximo a Molina Plaza.,"12,00","6,00",1280,720,"72,00","-12,0917747","-76,9536889",,5.275.689,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-001%20B.webp
LMNA-005,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Molina,LIMA DIGITAL,AV. Raul Ferrero CDRA 12,Hacia Av. Los Fresnos.,Frente a La Molina Plaza Wong Grifo Repsol y Plaza Vea.,"10,24","4,80",1280,720,"49,15","-12,0907889","-76,9510412",,5.124.201,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-005%20A.webp
LMNA-019,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Molina,LIMA DIGITAL,Av. Javier Prado Este Con Av. Los Frutales,Hacia Av. La Molina con dirección al Estadio Monumental de Universitario de Deportes,Frente a Centro Comercial La Fontana.,"12,00","6,00",1280,720,"72,00","-12,0755517","-76,9638061",Pantalla exclusica para LEXUS TOYOTA,7.241.803,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-019%20B.webp
LMNA-020,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Molina,LIMA DIGITAL,Óvalo Monitor Con Av. Las Palmeras,Vía de unión entre Av. Javier Prado Este Av. Las Palmeras y Club Golf los Incas,Frente a Óvalo Monitor,"12,00","6,00",1280,720,"72,00","-12,0828360","-76,9701614",Se visualiza entrando al óvalo y comercial indica que se visualiza también desde el puente ,10.918.543,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-020%20A.webp
LMNA-024,U,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,La Molina,LIMA DIGITAL,Dirección comercial: Av. Ricardo Elías Aparicio cruce con Av. La Molina.,Hacia Country Club La Planicie de La Molina.,Frente a Molicentro y Escuela de Equitación.,"11,52","5,76",1280,720,"66,36","-12,0818193","-76,9282830",En trámite de medidor,-,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-024%20U.webp
MIR-004,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Miraflores,LIMA DIGITAL,Av. Paseo de la República Cdra. 39,"Hacia Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.","Centro dermatológico Axalud, cruce con la Av. José María Eguren, ","12,00","6,00",1280,720,"72,00","-12,1048170","-77,0277950",,12.950.876,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20A.webp
MIR-004,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Miraflores,LIMA DIGITAL,Av. Paseo de la República Cdra. 39,"Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.","Centro dermatológico Axalud, cruce con la Av. José María Eguren, ","12,00","6,00",1280,720,"72,00","-12,1048170","-77,0277950",,12.125.739,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20B.webp
MIR-005,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Miraflores,LIMA DIGITAL,Av. Paseo de la República Cdra. 40,"Hacia la Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.","Cruce con Av. Sevilla, cerca de Centro dermatológico Axalud.","11,60","5,80",1280,720,"67,28","-12,1062320","-77,0276410",,6.657.990,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-005%20A.webp
