ELEMENTO,CARA,FORMATO,TIPO,PROVEEDOR,DEPARTAMENTO,DISTRITO,ZONA,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,AREA,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url
SJL-021,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Juan De Lurigancho,LIMA DIGITAL,Av. Próceres de la Independencia Cdra. 16,"Hacia Tottus San Hilarión Este, Estación Los Postes y Universidad Tecnológica del Perú.",Frente a Estación Los Jardines e Hipermercado Metro San Juan de Lurigancho.,"10,24","4,80",1280,720,"49,15","-12,0070191","-77,0051899",,10.801.449,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJL-021%20A.webp
SJM-002,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Juan De Miraflores,LIMA DIGITAL,Av. Los Héroes Cdra. 2 ,Con dirección a Surco por la Panamericana Sur.,Cerca a Metro / Saga Falabella y Plaza Vea.,"12,29","6,14",1280,720,"75,46","-12,1512365","-76,9783252",,14.240.053,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-002%20A.webp
SJM-004,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Juan De Miraflores,LIMA DIGITAL,Av. Los Héroes (Puente Atocongo),Con dirección a la Av. San Juan (Ciudad de Dios).,Puente Atocongo.,"10,24","4,80",1280,720,"49,15","-12,1498736","-76,9827841",,14.146.414,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-004%20A.webp
SJM-010,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Juan De Miraflores,LIMA DIGITAL,Panamericana Sur,Hacia el sur Villa el Salvador y ruta hacia las playas del sur.,Puente Alipio Próximo a Metro.,"12,00","6,00",1280,720,"72,00","-12,1701120","-76,9799180",,8.257.367,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-010%20A.webp
SJM-020,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Juan De Miraflores,LIMA DIGITAL,Panamericana Sur alt. cruce con Av. Los Lirios,"Hacia el Puente Atocongo, Puente Benavides y Jockey Plaza",Frente a Mall del Sur y Terminal Terrestre Atocongo,"10,24","4,80",1280,720,"49,15","-12,1537240","-76,9836047",,16.659.249,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-020%20A.webp
SJM-020,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Juan De Miraflores,LIMA DIGITAL,Panamericana Sur alt. cruce con Av. Los Lirios,Hacia el Puente Alipio y playas del Sur,Frente a Mall del Sur y Terminal Terrestre Atocongo,"10,24","4,80",1280,720,"49,15","-12,1537240","-76,9836047",,8.270.773,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-020%20B.webp
SMP-010,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Martin De Porres,LIMA DIGITAL,Panamericana Norte Con Av. Tomás Valle,De sur a norte hacia Av. Carlos Izaguirre con dirección al C.C. Mega Plaza Comas,A 500 metros antes de llegar al Centro Comercial Plaza Norte.,"12,00","6,00",1280,720,"72,00","-12,0116240","-77,0604750",,9.868.967,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SMP-010%20A.webp
SMP-010,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Martin De Porres,LIMA DIGITAL,Panamericana  Norte Cruce Con Tomas Valle,De norte a sur con dirección a Av. Eduardo de Habich.,A 500 metros pasando el Centro Comercial Plaza Norte.,"12,00","6,00",1280,720,"72,00","-12,0116240","-77,0604750",,12.724.204,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SMP-010%20B.webp
SNM-009,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Miguel,LIMA DIGITAL,Av.  Universitaria Cuadra 11 Cruce Con La Mar,"Hacia C.C. Plaza San Miguel, Av. La Marina y con dirección al Circuito de Playas","Frente a D´Paso Strip Center, Bembos, Bodytech, restaurantes y a 1 cuadra de Centro Comercial Plaza San Miguel","7,68","3,84",1280,720,"29,49","-12,0747977","-77,0796494",,4.918.603,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SNM-009%20A.webp
SNM-013,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Miguel,LIMA DIGITAL,Av. Elmer Faucett Cdra. 524,Hacia Av. La Marina con dirección al Parque de las Naciones.,Frente a Inkafarma a 2 cuadras de Metro.,"6,40","2,88",1280,655,"18,43","-12,0663946","-77,0974923",,4.316.391,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SNM-013%20A.webp
SRQ-003,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surquillo,LIMA DIGITAL,Av. Tomás Marsano Con Av. Angamos,Con dirección al Óvalo Higuereta.,Próximo a grifo Primax a una cuadra del Centro Comercial Open Plaza Angamos.,"12,00","6,00",1280,720,"72,00","-12,1129346","-77,0121283",,10.082.113,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SRQ-003%20B.webp
SUR-010,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. El Derby Con Av. Manuel Olguin,Hacia Av. Encalada con dirección a La Molina.,"A unas cdras de Cc. El Polo, próximo a embajada de EE.UU","12,00","6,00",1280,720,"72,00","-12,0982567","-76,9740806",,11.731.264,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-010%20A.webp
SUR-026,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. Primavera Nº 1357 Cruce Con Av. El Polo,Hacia Av. Encalada con dirección a la UPC de Monterrico.,A una cuadra a la Av. Encalada.,"12,00","6,00",1280,720,"72,00","-12,1098210","-76,9745100",,12.345.420,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-026%20B.webp
SUR-027,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. El Derby Con Av. El Polo,Hacia Av. Primavera con dirección al C.C. El Polo.,"A una cdra de Cc. El Polo, embajada de Usa.","12,00","6,00",1280,617,"72,00","-12,0985760","-76,9708120",No se puede ofrecer a competencia (Grifos),12.366.386,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-027%20B.webp
SUR-028,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av Benavides Cdra N°55,Entrada a las Casuarinas Av. Salvador Allende San Juan de Miraflores y Villa Maria del Triunfo.,"Puente Benavides, a una cuadra de Univ. Ricardo Palma.","12,00","6,00",1280,720,"72,00","-12,1314251","-76,9779152",,14.561.319,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-028%20A.webp
SUR-036,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. Javier Prado Frente al Jockey Plaza,Hacia San Isidro,"Zona altamente comercial, vehicular y peatonal Frente al Jockey Plaza","12,00","6,00",1280,720,"72,00","-12,0842500","-76,9780833",,9.731.794,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-036%20A.webp
