ELEMENTO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,REFERENCIA,LATITUD,LONGITUD,CARA,PANEL_CODE,TIPO,FORMATO,ANCHO,ALTO,TRANSITO,AUDIENCIA,RESOLUTION_WIDTH,RESOLUTION_HEIGHT,PHOTO_URL,OBSERVACION,DAILY_PRICE,BASE_PRICE,CURRENCY,PRICE_PERIOD,MAX_SLOTS,SLOT_DURATION_SECONDS,OPERATING_START_TIME,OPERATING_END_TIME,STATUS
LAV-016,Lima,La Victoria,Av. México Con Jr. Gamarra,Ingreso al centro comercial Gama Plaza. Tienda ancla: Metro Cine Mark Smart Fit,-12.0724262,-77.0127946,A,LAV-016-A,DIGITAL,Pantalla Digital,8,4,Hacia Av. Parinacocha con dirección a la Vía Expresa.,3598551,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-016%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
LCE-003,Lima,Lince,Av. Arequipa Cdra. 18 cruce con Jr. Manuel Candamo,Esquina de Clínica San Clemente cerca a Centro Comercial Arenales.,-12.0825099,-77.0347178,A,LCE-003-A,DIGITAL,Pantalla Digital,10,4,Hacia Circuito Mágico del Agua y Cercado de Lima.,0,1280,720,,"Elemento por instalar, en trámite de medidor, Sera Elemento tradicional",120,120,PEN,day,23,7,06:00:00,00:00:00,maintenance
LCE-004,Lima,Lince,Av. Arequipa cruce con Jr. Risso,"Costado del Centro Comercial Risso y Restaurante La Leña, en la esquina se encuentra Scotiabank",-12.0855833,-77.0340556,A,LCE-004-A,DIGITAL,Pantalla Digital,10.8,4.8,Hacia Circuito Mágico del Agua y Cercado de Lima.,0,1280,720,,"Elemento por instalar, en trámite de medidor",120,120,PEN,day,23,7,06:00:00,00:00:00,maintenance
LMNA-001,Lima,La Molina,Av. Raúl Ferrero 1496,Próximo a Molina Plaza.,-12.0917747,-76.9536889,B,LMNA-001-B,DIGITAL,Pantalla Digital,12,6,Hacia Av. Los Fresnos con dirección a Av. La Molina.,5275689,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-001%20B.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-005,Lima,La Molina,AV. Raul Ferrero CDRA 12,Frente a La Molina Plaza Wong Grifo Repsol y Plaza Vea.,-12.0907889,-76.9510412,A,LMNA-005-A,DIGITAL,Pantalla Digital,10.24,4.8,Hacia Av. Los Fresnos.,5124201,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-005%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-019,Lima,La Molina,Av. Javier Prado Este Con Av. Los Frutales,Frente a Centro Comercial La Fontana.,-12.0755517,-76.9638061,B,LMNA-019-B,DIGITAL,Pantalla Digital,12,6,Hacia Av. La Molina con dirección al Estadio Monumental de Universitario de Deportes,7241803,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-019%20B.webp,Pantalla exclusica para LEXUS TOYOTA,180,180,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-020,Lima,La Molina,Óvalo Monitor Con Av. Las Palmeras,Frente a Óvalo Monitor,-12.082836,-76.9701614,A,LMNA-020-A,DIGITAL,Pantalla Digital,12,6,Vía de unión entre Av. Javier Prado Este Av. Las Palmeras y Club Golf los Incas,10918543,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-020%20A.webp,Se visualiza entrando al óvalo y comercial indica que se visualiza también desde el puente ,210,210,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-024,Lima,La Molina,Dirección comercial: Av. Ricardo Elías Aparicio cruce con Av. La Molina.,Frente a Molicentro y Escuela de Equitación.,-12.0818193,-76.928283,U,LMNA-024-U,DIGITAL,Pantalla Digital,11.52,5.76,Hacia Country Club La Planicie de La Molina.,0,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-024%20U.webp,En trámite de medidor,120,120,PEN,day,23,7,06:00:00,00:00:00,maintenance
MIR-004,Lima,Miraflores,Av. Paseo de la República Cdra. 39,"Centro dermatológico Axalud, cruce con la Av. José María Eguren,",-12.104817,-77.027795,A,MIR-004-A,DIGITAL,Pantalla Digital,12,6,"Hacia Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.",12950876,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
MIR-004,Lima,Miraflores,Av. Paseo de la República Cdra. 39,"Centro dermatológico Axalud, cruce con la Av. José María Eguren,",-12.104817,-77.027795,B,MIR-004-B,DIGITAL,Pantalla Digital,12,6,"Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.",12125739,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20B.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
MIR-005,Lima,Miraflores,Av. Paseo de la República Cdra. 40,"Cruce con Av. Sevilla, cerca de Centro dermatológico Axalud.",-12.106232,-77.027641,A,MIR-005-A,DIGITAL,Pantalla Digital,11.6,5.8,"Hacia la Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.",6657990,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-005%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
MIR-005,Lima,Miraflores,Av. Paseo de la República Cdra. 40,"Cruce con Av. Sevilla, cerca de Centro dermatológico Axalud.",-12.106232,-77.027641,B,MIR-005-B,DIGITAL,Pantalla Digital,11.52,5.76,"Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.",6620147,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-005%20B.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
MRN-004,Lima,San Miguel,Av. La Marina Cdra. 20.,Frente a Plaza San Miguel.,-12.077725,-77.082797,A,MRN-004-A,DIGITAL,Pantalla Digital,12,6,Hacia la Av. Universitaria con dirección a la Av. Brasil.,10420907,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MRN-004%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
MRN-004,Lima,San Miguel,Av. La Marina Cdra. 20.,Frente a Plaza San Miguel.,-12.0782553,-77.082746,B,MRN-004-B,DIGITAL,Pantalla Digital,12,6,Hacia la Av. José de la Riva Agüero rumbo al Callao.,10663423,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MRN-004%20B.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
OLI-014,Lima,Los Olivos,Av. Alfredo Mendiola ( Frente A Mega Plaza),Entrada principal de Centro Comercial Mega Plaza,-11.994915,-77.063546,B,OLI-014-B,DIGITAL,Pantalla Digital,10.4,5.4,Hacia el norte con dirección al Óvalo Naranjal,14272650,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/OLI-014%20B.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
PIU-006,Piura,Lima Metropolitana,Av. Sánchez Cerro Cdra. 12,Próximo a la Av. Country,-5.190709,-80.632394,B,PIU-006-B,DIGITAL,Pantalla Digital,12,6,Hacia Av. Loreto con dirección al Estadio Miguel Grau,4507303,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PIU-006%20B.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
PIU-027,Piura,Lima Metropolitana,Av. Cáceres Cruce Con Ramón Mujica,FRENTE A LA OFICINA DEL BCP DESDE EL OPEN PLAZA HACIA AV SULLANA.,-5.182553,-80.63116,A,PIU-027-A,DIGITAL,Pantalla Digital,8.4,4.8,Hacia Av. Sullana Norte con dirección al Camposanto Miguel Arcángel,1729380,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PIU-027%20A.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
PIU-055,Piura,Lima Metropolitana,Av. Cáceres Con Av. Irrazola (Open Plaza),Frente al Open Plaza de Piura.,-5.183056,-80.623584,A,PIU-055-A,DIGITAL,Pantalla Digital,11.52,6.4,Hacia el Hospital Universitario – Alt. De la Universidad de Piura.,3134627,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PIU-055%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
PLB-003,Lima,Pueblo Libre,Av. La Marina Cdra. 1633,A dos cuadra de la Av. Universitaria y el CC. Plaza San Miguel.,-12.0790575,-77.0778173,A,PLB-003-A,DIGITAL,Pantalla Digital,12,6,Hacia la Av. Universitaria - Plaza San Miguel.,6995571,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PLB-003%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
SIN-001,Lima,San Isidro,Av. República De Panamá Con Av. Tomás Marsano,Frente a Chery Lima Autos.,-12.1043112,-77.0187684,A,SIN-001-A,DIGITAL,Pantalla Digital,12,6,Hacia la Av. Andrés Aramburú y Centró bancario de San Isidro.,10238640,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-001%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
SIN-004,Lima,San Isidro,Av. Javier Prado Este ( Junto A La Rambla),Al costado de Mundo Bebe y frente a Petroperú.,-12.0894273,-77.0111829,A,SIN-004-A,DIGITAL,Pantalla Digital,12,6,Hacia Centro Comercial Jockey Plaza con dirección a La Molina.,6904389,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-004%20A.webp,Compartido con otra empresa. Evitar bonificar.,180,180,PEN,day,23,7,06:00:00,00:00:00,available
SIN-004,Lima,San Isidro,Av. Javier Prado Este ( Junto A La Rambla),Al costado de Mundo Bebe y frente a Petroperú.,-12.0894273,-77.0111829,B,SIN-004-B,DIGITAL,Pantalla Digital,12,6,Hacia via expresa con dirección a San Isidro,6995764,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-004%20B.webp,Compartido con otra empresa. Evitar bonificar.,180,180,PEN,day,23,7,06:00:00,00:00:00,available
SIN-008,Lima,San Isidro,Av. Javier Prado Cdra. 15 Alt. / con Jorge Valdeavellano,"Entre las Avenidas Guardia Civil y Puente Quiñones, frente a Mcdonalds San Isidro, sobre la entrada a la Vía Expresa Javier Prado",-12.0887778,-77.0105833,A,SIN-008-A,DIGITAL,Pantalla Digital,12.48,6.72,"Con dirección de La Molina hacia San Isidro. Vía expresa, Cruz del Sur, clúster automotriz de La Victoria, centro empresarial San Isidro y el strip center Plaza Santa Catalina",9798424,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-008%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
SJL-009,Lima,San Juan De Lurigancho,Av. 9 De Octubre Cdra. 824,Próximo al Mercado El Bosque.,-12.0341265,-77.0126206,A,SJL-009-A,DIGITAL,Pantalla Digital,8.8,4.5,Hacia Óvalo de Zárate con dirección a Estación del Tren Caja de Agua.,14640296,1280,655,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJL-009%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
SJL-021,Lima,San Juan De Lurigancho,Av. Próceres de la Independencia Cdra. 16,Frente a Estación Los Jardines e Hipermercado Metro San Juan de Lurigancho.,-12.0070191,-77.0051899,A,SJL-021-A,DIGITAL,Pantalla Digital,10.24,4.8,"Hacia Tottus San Hilarión Este, Estación Los Postes y Universidad Tecnológica del Perú.",10801449,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJL-021%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
SJM-002,Lima,San Juan De Miraflores,Av. Los Héroes Cdra. 2,Cerca a Metro / Saga Falabella y Plaza Vea.,-12.1512365,-76.9783252,A,SJM-002-A,DIGITAL,Pantalla Digital,12.29,6.14,Con dirección a Surco por la Panamericana Sur.,14240053,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-002%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
SJM-004,Lima,San Juan De Miraflores,Av. Los Héroes (Puente Atocongo),Puente Atocongo.,-12.1498736,-76.9827841,A,SJM-004-A,DIGITAL,Pantalla Digital,10.24,4.8,Con dirección a la Av. San Juan (Ciudad de Dios).,14146414,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-004%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
SJM-010,Lima,San Juan De Miraflores,Panamericana Sur,Puente Alipio Próximo a Metro.,-12.170112,-76.979918,A,SJM-010-A,DIGITAL,Pantalla Digital,12,6,Hacia el sur Villa el Salvador y ruta hacia las playas del sur.,8257367,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-010%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
SJM-020,Lima,San Juan De Miraflores,Panamericana Sur alt. cruce con Av. Los Lirios,Frente a Mall del Sur y Terminal Terrestre Atocongo,-12.153724,-76.9836047,A,SJM-020-A,DIGITAL,Pantalla Digital,10.24,4.8,"Hacia el Puente Atocongo, Puente Benavides y Jockey Plaza",16659249,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-020%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
SJM-020,Lima,San Juan De Miraflores,Panamericana Sur alt. cruce con Av. Los Lirios,Frente a Mall del Sur y Terminal Terrestre Atocongo,-12.153724,-76.9836047,B,SJM-020-B,DIGITAL,Pantalla Digital,10.24,4.8,Hacia el Puente Alipio y playas del Sur,8270773,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SJM-020%20B.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
