ELEMENTO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,REFERENCIA,LATITUD,LONGITUD,CARA,PANEL_CODE,TIPO,FORMATO,ANCHO,ALTO,TRANSITO,AUDIENCIA,RESOLUTION_WIDTH,RESOLUTION_HEIGHT,PHOTO_URL,OBSERVACION,DAILY_PRICE,BASE_PRICE,CURRENCY,PRICE_PERIOD,MAX_SLOTS,SLOT_DURATION_SECONDS,OPERATING_START_TIME,OPERATING_END_TIME,STATUS
TRU-046,Trujillo,Lima Metropolitana,Av. America Oeste,Frente al Mall Plaza,-8.10155,-79.044296,U,TRU-046-U,DIGITAL,Pantalla Digital,12,6,Frente a Saga Falabella,2620431,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/TRU-046%20U.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
TRU-054,Trujillo,Lima Metropolitana,Óvalo Larco,"Tienda Glorisa y Óvalo Larco, Universidad Cesar Vallejo y tiendas por departamento.",-8.1248064,-79.0387401,U,TRU-054-U,DIGITAL,Pantalla Digital,10.24,4.8,Hacia el Real Plaza,1689986,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/TRU-054%20U.webp,NO vender a empresas competencia de CELIMA y TREBOL ,120,120,PEN,day,23,7,06:00:00,00:00:00,inactive
TRU-056,Trujillo,Lima Metropolitana,Av. César Vallejo cruce con Fátima,Frente al Real Plaza Trujillo y cerca a la Universidad Privada Antenor Orrego (UPAO).,-8.131972,-79.033722,A,TRU-056-A,DIGITAL,Pantalla Digital,10.24,4.8,Hacia el Av. El Golf y Panamericana Nte.,954309,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/TRU-056%20A.webp,"No vender a proveedores de servicio público de telecomunicaciones como Telefónica, Entel, Bitel, etc",120,120,PEN,day,23,7,06:00:00,00:00:00,inactive
VMT-017,Lima,Villa Maria Del Triunfo,Av. Pachacútec Con Av. 26 De Noviembre Frente Al C.C. Real Plaza,Frente al C.C Real Plaza Oeschle Promart Cineplanet Interbank,-12.1801295,-76.9434236,A,VMT-017-A,DIGITAL,Pantalla Digital,8.8,4.5,Hacia San Juan de Miraflores Surco,7093534,1280,655,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/VMT-017%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
MIR-003,Lima,Miraflores,Av. Alfredo Benavides Cdra. 30 - Óvalo Higuereta,"Ovalo Higuereta, frente a Plaza Vea y Estación Cabitos.",-12.128953,-77.001934,A,MIR-003-A,DIGITAL,Pantalla Digital,11.52,5.76,"Hacia Wong Panamá, Paseo de la República, Instituto ISIL Parque Kennedy.",7319614,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-003%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
HUA-018,Huancayo,Lima Metropolitana,Av. Ferrocarril Cdra. 2,Frente a Open Plaza Huancayo y Terminal Terrestre Los Andes.,-12.062049,-75.208404,U,HUA-018-U,DIGITAL,Pantalla Digital,10.24,4.8,"En dirección a C.C. Real Plaza Huancayo, Estadio Huancayo y Av. Coronel Leoncio Prado.",6230319,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/HUA-018%20U.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
SIN-011,Lima,San Isidro,Av. Javier Prado cruce con Av. Nicolás Arriola,Cerca a Cruz del Sur y grifo Repsol; y frente a Oftalmo Salud,-12.089889,-77.017417,A,SIN-011-A,DIGITAL,Pantalla Digital,11.52,5.76,"Hacia San Isidro, La Positiva, Clínica Javier Prado, La Curacao y Av. Arequipa,",10093667,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-011%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
MIR-016,Lima,Miraflores,Av. Angamos Cdra. 4 cruce con Av. Paseo de la República,"Al costado de Repsol, Rodizio y Estación Metropolitano Angamos.",-12.1136944,-77.0265833,A,MIR-016-A,DIGITAL,Pantalla Digital,11.52,5.76,"Hacia la Av. Arequipa, ICPNA Miraflores y Circuito de Playas.",14853990,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-016%20A.webp,"Por instalar, sin punto de luz, sera Pantalla LED",210,210,PEN,day,23,7,06:00:00,00:00:00,maintenance
CAL-031,Callao,Callao,Av. Morales Duarez cruce con Calle Madre de Dios,Frente a nuevo ingreso del Aeropuerto Jorge Chavez.,-12.041799,-77.106416,B,CAL-031-B,DIGITAL,Pantalla Digital,11.6,5.4,Hacia Av. Elmer Faucett y Cercado de Lima.,1757229,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-031%20B.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
MIR-006,Lima,Miraflores,Av. Santa Cruz N° 779 - Óvalo Gutierrez,Ovalo Gutiérrez.,-12.1104478,-77.0366096,U,MIR-006-U,DIGITAL,Pantalla Digital,11.52,5.76,"Costado de Wong del Ovalo Gutiérrez, hacia Smart Fit Santa Cruz, tránsito también hacia Tottus de Comandante Espinar y Av. José Pardo.",0,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-006%20U.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
